Player,Team,Pos,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Josh Allen,QB1,BUF,4003,26.1,14.3,511,8.9,0,0,0
Jalen Hurts,QB2,PHI,3766,22.3,12.3,584,10.2,0,0,0
Lamar Jackson,QB3,BAL,3596,22.9,10.4,791,4.9,0,0,0
Patrick Mahomes,QB4,KC,4378,32.7,11.9,324,1.3,0,0,0
C.J. Stroud,QB5,HOU,4319,27.4,12.7,203,3.1,0,0,0
Jordan Love,QB6,GB,4153,27.8,11.7,222,2.8,0,0,0
Anthony Richardson,QB7,IND,3189,17.8,12,701,8,0,0,0
Joe Burrow,QB8,CIN,4161,29.2,11.5,205,1.9,0,0,0
Dak Prescott,QB9,DAL,4223,29.1,11.7,181,1.8,0,0,0
Kyler Murray,QB10,ARI,3436,20.2,12.4,529,4.9,0,0,0
Trevor Lawrence,QB11,JAC,3980,23.2,11.6,289,2.9,0,0,0
Jayden Daniels,QB12,WAS,3165,17.6,12,706,5.2,0,0,0
Caleb Williams,QB13,CHI,3850,22.3,13.1,365,2.9,0,0,0
Brock Purdy,QB14,SF,4013,26.7,13.5,144,1.9,0,0,0
Justin Herbert,QB15,LAC,3691,24.3,10.7,251,2.6,1,4,0
Tua Tagovailoa,QB16,MIA,4225,26.1,11.8,100,0.6,0,0,0
Jared Goff,QB17,DET,4300,26.3,11.5,52,0.6,0,0,0
Kirk Cousins,QB18,ATL,3830,24.6,10.5,45,1,0,0,0
Baker Mayfield,QB19,TB,3786,22.6,11.6,121,1,0,0,0
Christian McCaffrey,RB1,SF,21,0.3,0.1,1019,9,61,477,4.5
Aaron Rodgers,QB20,NYJ,3529,23.3,10.7,59,1.4,0,0,0
Matthew Stafford,QB21,LAR,3701,22.5,11.9,55,0.8,0,0,0
Geno Smith,QB22,SEA,3502,20.1,11.1,182,1.3,1,0,0
Bijan Robinson,RB2,ATL,0,0,0,1132,7.3,51,417,3.2
Derek Carr,QB23,NO,3537,20.9,10.4,68,0.5,0,0,0
Deshaun Watson,QB24,CLE,3203,19.1,12.1,225,1.8,0,4,0
Jonathan Taylor,RB3,IND,0,0,0,1220,7.9,38,310,1.7
